Date,spi1,spi2,
03-01-1981,0,55,
04-01-1981,0,51,
05-01-1981,1,37,
06-01-1981,0,66,
07-01-1981,0,75,
08-01-1981,-1,31,
09-01-1981,0,28,
10-01-1981,0,59,
11-01-1981,1,77,
12-01-1981,0,15,
01-01-1982,0,91,
02-01-1982,0,16,
03-01-1982,2,29,
04-01-1982,1,74,
05-01-1982,1,79,
06-01-1982,0,25,
07-01-1982,0,6,
08-01-1982,1,35,
09-01-1982,0,55,
10-01-1982,0,18,
11-01-1982,1,41,
12-01-1982,0,8,
01-01-1983,0,82,
02-01-1983,0,42,
03-01-1983,0,7,
04-01-1983,3,18,
05-01-1983,1,52,
06-01-1983,0,46,
07-01-1983,0,68,
08-01-1983,1,22,
09-01-1983,0,76,
10-01-1983,0,88,
11-01-1983,0,42,
12-01-1983,0,95,
01-01-1984,0,69,
02-01-1984,0,78,
03-01-1984,0,99,
04-01-1984,0,55,
05-01-1984,-1,89,
06-01-1984,1,1,
07-01-1984,0,41,
08-01-1984,0,27,
09-01-1984,0,11,
10-01-1984,-1,14,
11-01-1984,0,42,
12-01-1984,0,48,
01-01-1985,0,29,
02-01-1985,-1,79,
03-01-1985,0,65,
04-01-1985,0,5,
05-01-1985,0,3,
06-01-1985,0,47,
07-01-1985,0,67,
08-01-1985,0,19,
09-01-1985,0,7,
10-01-1985,1,91,
11-01-1985,0,42,
12-01-1985,1,3,
01-01-1986,0,22,
02-01-1986,1,34,
03-01-1986,0,5,
04-01-1986,0,9,
05-01-1986,1,35,
06-01-1986,0,55,
07-01-1986,0,38,
08-01-1986,0,65,
09-01-1986,0,24,
10-01-1986,0,9,
11-01-1986,0,24,
12-01-1986,0,89,
01-01-1987,0,24,
02-01-1987,0,15,
03-01-1987,0,45,
04-01-1987,0,36,
05-01-1987,1,76,
06-01-1987,0,75,
07-01-1987,-1,8,
08-01-1987,-1,42,
09-01-1987,0,4,
10-01-1987,0,51,
11-01-1987,0,42,
12-01-1987,0,47,
01-01-1988,0,75,
02-01-1988,0,5,
03-01-1988,1,2,
04-01-1988,0,62,
05-01-1988,0,3,
06-01-1988,0,39,
07-01-1988,0,78,
08-01-1988,1,41,
09-01-1988,0,13,
10-01-1988,0,8,
11-01-1988,0,42,
12-01-1988,0,62,
01-01-1989,0,69,
02-01-1989,-1,12,
03-01-1989,0,67,
04-01-1989,-1,6,
05-01-1989,-1,17,
06-01-1989,0,44,
07-01-1989,-1,33,
08-01-1989,0,19,
09-01-1989,0,27,
10-01-1989,-1,14,
11-01-1989,0,53,
12-01-1989,0,95,
01-01-1990,-1,92,
02-01-1990,1,82,
03-01-1990,0,26,
04-01-1990,0,77,
05-01-1990,1,35,
06-01-1990,0,43,
07-01-1990,0,92,
08-01-1990,0,47,
09-01-1990,1,3,
10-01-1990,0,53,
11-01-1990,0,45,
12-01-1990,1,15,
01-01-1991,0,85,
02-01-1991,0,44,
03-01-1991,0,12,
04-01-1991,0,1,
05-01-1991,0,87,
06-01-1991,0,46,
07-01-1991,-1,73,
08-01-1991,1,37,
09-01-1991,0,2,
10-01-1991,-1,69,
11-01-1991,0,92,
12-01-1991,1,37,
01-01-1992,0,19,
02-01-1992,0,6,
03-01-1992,0,25,
04-01-1992,-1,4,
05-01-1992,0,8,
06-01-1992,-1,6,
07-01-1992,0,45,
08-01-1992,0,6,
09-01-1992,0,5,
10-01-1992,1,12,
11-01-1992,1,1,
12-01-1992,0,87,
01-01-1993,0,72,
02-01-1993,0,18,
03-01-1993,0,97,
04-01-1993,0,63,
05-01-1993,0,54,
06-01-1993,0,33,
07-01-1993,0,97,
08-01-1993,-1,23,
09-01-1993,1,51,
10-01-1993,0,9,
11-01-1993,0,31,
12-01-1993,0,87,
01-01-1994,0,66,
02-01-1994,0,37,
03-01-1994,-1,46,
04-01-1994,1,1,
05-01-1994,0,25,
06-01-1994,0,15,
07-01-1994,1,16,
08-01-1994,0,46,
09-01-1994,-1,94,
10-01-1994,-1,69,
11-01-1994,0,42,
12-01-1994,0,76,
01-01-1995,0,9,
02-01-1995,0,4,
03-01-1995,0,16,
04-01-1995,0,5,
05-01-1995,-2,36,
06-01-1995,0,15,
07-01-1995,0,55,
08-01-1995,1,25,
09-01-1995,0,5,
10-01-1995,-1,37,
11-01-1995,0,25,
12-01-1995,0,2,
01-01-1996,0,7,
02-01-1996,1,57,
03-01-1996,0,45,
04-01-1996,0,95,
05-01-1996,0,66,
06-01-1996,0,4,
07-01-1996,0,29,
08-01-1996,0,96,
09-01-1996,0,42,
10-01-1996,0,62,
